Tirana 's national library has three copies of the " Book of Mass ' . "	S-LOC O O O O O O O O O B-MISC I-MISC E-MISC O O O
* Baxter International Inc has reached an agreement to acquire Austria 's Immuno International AG in a complex deal valued at $ 715 miilion .	O O O O O O O O O O S-LOC O O O O O O O O O O O O O O
- IP / 96 / 805 : Commission finds acquisition of CAMAT by AGF-IART does not fall under the merger regulation .	O O O O O O O O O O O O O O O O O O O O O O
are full of expressions and declarations that must be worrying ...	O O O O O O O O O O O
THAWRA	O
$ 450,000 Toshiba Classic tennis tournament on Friday ( prefix	O O B-MISC E-MISC O O O O O O
5/8 - Christine Magnusson ( Sweden ) beat Ishwari Boopathy	O O B-PER E-PER O S-LOC O O B-PER E-PER
Auxerre 0 Marseille 0	O O O O
P1020 ingot 75 cents / pound	O O O O O O
Major suppliers :	O O O
It is an example of Clinton 's strategic planning as he heads into the stretch drive for the Nov. 5 presidential election .	O O O O O S-PER O O O O O O O O O O O O O O O O O
AS-SAFIR	O
They were put on microfilm about 30 years ago through a grant from the United Daughters of the Confederacy .	O O O O O O O O O O O O O O O O O O O O
The final decision will now be made by a larger assembly .	O O O O O O O O O O O O
Saeed Anwar c Croft b Cork 176	B-PER E-PER O S-PER O S-PER O
5. Gerhard Berger ( Austria ) Benetton 1:51.960	O B-PER E-PER O S-LOC O O O
But one source , the head of a Hong Kong trading house , said it made no difference if the copper was customs cleared or not .	O O O O O O O O B-LOC E-LOC O O O O O O O O O O O O O O O O O
The area was part of the self-styled state of Krajina proclaimed by minority Serbs in 1991 and recaptured by the Croatian army last year .	O O O O O O O O O S-LOC O O O S-MISC O O O O O O S-MISC O O O O
Strikers - Kubilay Turkyilmaz ( Grasshoppers ) , Adrian Knup ( Galatasaray ) , Christophe Bonvin ( Sion ) , Stephane Chapuisat ( Borussia Dortmund ) .	O O B-PER E-PER O O O O B-PER E-PER O O O O B-PER E-PER O O O O B-PER E-PER O O O O O
Afghan Deputy Prime Minister Qotbuddin Hilal officiated at the reopening ceremony , which was delayed by several hours while the two sides argued about a mutual release of prisoners .	S-MISC O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O
BONN 1996-08-24	S-LOC O
Italian Cup winners Fiorentina beat	S-MISC S-MISC O O O
SOCCER - DUTCH FIRST DIVISION SUMMARIES .	O O S-MISC O O O O
" I won the second set , which I did n't think I would do , being down 5-2 and the chances she had at 6-5 , " Graf recalled .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O
CENTRAL DIVISION	B-MISC E-MISC
ST LOUIS 68 60 .531 -	O O O O O O
BANGKOK 1996-08-29	S-LOC O
President Lansana Conte appointed Toure , a former senior civil servant in Ivory Coast , last month to clean up the administration and reform the economy following February 's bloody army revolt .	O B-PER E-PER O S-PER O O O O O O O B-LOC E-LOC O O O O O O O O O O O O O O O O O O O
( in billions of yen unless specified )	O O O O O O O O
Makinen , with 95 points , now leads his nearest championship rival , Sainz , by 32 points .	S-PER O O O O O O O O O O O O S-PER O O O O O
The tour party will be announced towards the end of March .	O O O O O O O O O O O O
Florida 6 ST LOUIS 3	O O O O O
Syria accused Israel on Wednesday of launching a hysterical campaign against it after Israeli television reported that Damascus had recently test fired a missile .	S-LOC O S-LOC O O O O O O O O O O S-MISC O O O S-LOC O O O O O O O
" We were not allowed a delay to enable us to transfer the movement 's goods and documents , " Khalfallah added in a statement .	O O O O O O O O O O O O O O O O O O O O S-PER O O O O O
The Civil War Conservation Corps is mostly retirees joined by students during the school year .	O O O O O O O O O O O O O O O O
Standings ( tabulated under played , won , drawn , lost , goals	O O O O O O O O O O O O O
- VNU 3,060 843 4.70	O O O O O
Willem II Tilburg 2 0 1 1 0 1 1	O O O O O O O O O O
Arafat says Israel declares war on Palestinians .	S-PER O S-LOC O O O S-MISC O
On Tuesday night , Kevorkian attended the death of Louise Siebens , a 76-year-old Texas woman with amyotrophic lateral sclerosis , or Lou Gehrig 's disease .	O O O O S-PER O O O O B-PER E-PER O O O S-LOC O O O O O O O B-PER E-PER O O O
soccer matches at the weekend :	O O O O O O
qualifying match on Sunday .	O O O O O
1996A	O
BOSTON 69 65 .515 6	O O O O O
MARACAIBO , Venezuela 1996-08-26	S-LOC O S-LOC O
" This squad is currently the basis of my planning for the 1998 World Cup , " Vogts said . "	O O O O O O O O O O O O O B-MISC E-MISC O O S-PER O O O
Athens and Tirana signed an accord in May to legalise the status of Albanian immigrant workers , estimated at 350,000 , and remove a long-standing stumbling block in relations between the two Balkan neighbours .	S-LOC O S-LOC O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O S-LOC O O
202 Greg Turner ( New Zealand ) 70 67 65 , Heinz-Peter Thul	O B-PER E-PER O B-LOC E-LOC O O O O O B-PER E-PER
LOS ANGELES 71 60 .542 1	O O O O O O
Bremen 1,453 up 13.1	S-LOC O O O
Zeneca Group Plc , which will market Kadian , was named in the lawsuit with F.H. Faulding & Co , the majority shareholder of Faulding Inc , the company said .	O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O
Sion 3 Servette 1	O O O O
BASEBALL - MAJOR LEAGUE STANDINGS AFTER SATURDAY 'S GAMES .	O O B-MISC E-MISC O O O O O O
The freelance photographer was branded a stalker by Diana , whose divorce from heir-to-the-throne Prince Charles is due to become final next week , after persistently trailing her on his motorcycle .	O O O O O O O O S-PER O O O O O O S-PER O O O O O O O O O O O O O O O O
" At some points I felt a little nervous , " she admitted . "	O O O O O O O O O O O O O O O
The survey was conducted between July 23 and August 14 and involved 1,305 companies , representing 50 industries , accounting for around half of the UK 's manufactured exports and some two million employees .	O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O
St Pauli pulled a goal back through Andre Trulsen but Schalke striker Martin Max restored his team 's two-goal cushion shortly afterwards .	O O O O O O O B-PER E-PER O O O B-PER E-PER O O O O O O O O O
H1 1996 H1 1995	O O O O
No arrests had been made , a police spokesman said .	O O O O O O O O O O O
$ 1.5520 ( $ 1.5497 )	O O O O O O
4. Tatiana Stiajkina ( Ukraine ) 11	O B-PER E-PER O S-LOC O O
SOCCER - FRENCH LEAGUE RESULTS .	O O S-MISC O O O
Two tries from wing Jeff Wilson in the first quarter gave New Zealand a 24-11 lead before tries from flanker Ruben Kruger and scrum-half Joost van der Westhuizen in the space of two minutes narrowed the gap to a single point at 23-24 .	O O O O B-PER E-PER O O O O O B-LOC E-LOC O O O O O O O B-PER E-PER O O B-PER I-PER I-PER E-PER O O O O O O O O O O O O O O O O
BRUSSELS 1996-08-23	S-LOC O
ABIDJAN 1996-08-28	S-LOC O
In the night 's only other match , Hamburg beat Hansa Rostock 1-0 , Karsten Baeron scoring the winner after some dazzling build-up from in-form midfielder Harald Spoerl .	O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O B-PER E-PER O
SKODA PLZEN 1045.56 1060.00 10772 11361.330	O O O O O O
BUCHAREST 1996-08-25	S-LOC O
The presence of Takemura , whose role as finance minister in passing an unpopular plan to use taxpayer funds to wind up failed housing loan firms ruined his reputation as a reformer , has stalled Hatoyama 's efforts to attract to his new group defectors from the opposition camp , analysts said .	O O O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O
Antwerp 1 Lommel 4	O O O O
At Northampton : Northamptonshire beat Sussex by 6 wickets .	O S-LOC O O O O O O O O
Israeli security forces have been pursuing Bedouin Palestinians living in the desolate wilderness between East Jerusalem and the Dead Sea , where several Jewish settlements have been established .	S-MISC O O O O O B-MISC E-MISC O O O O O O B-LOC E-LOC O O B-LOC E-LOC O O O S-MISC O O O O O
Bayer Leverkusen 4 2 0 2 9 8 6	O O O O O O O O O
Collingwood 21 8 0 13 2103 2091 100.6 32	O O O O O O O O O
A lefthander with a strong serve , Nestor kept the rallies short by constantly attacking the net and the tactic worked in the second-round match against Muster , playing his first match after receiving a first-round bye along with the other top eight seeds .	O O O O O O O S-PER O O O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O O
The hardy ones are expected to complete the course in about six days , with first-place finishers receiving $ 10,000 in prize money .	O O O O O O O O O O O O O O O O O O O O O O O O
SEATTLE 1996-08-29	S-LOC O
The Redmond , Wash.-based company spent tens of millions of dollars promoting the product with stunts that included buying the entire print run of the Times of London and lighting New York 's Empire State building in a Windows color scheme .	O S-PER O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O B-LOC E-LOC O O O S-MISC O O O
But the strong showing by the Japanese riders did not alter the championship table with Slight still leading on 280 points , followed by Corser with 269 and Kocinski with 254 .	O O O O O O S-MISC O O O O O O O O S-PER O O O O O O O O S-PER O O O S-PER O O O
Santos suffered more from their loss as Narciso 's replacement Jean gave away a penalty from which Sao Paulo scored the decisive goal in a 2-1 win .	O O O O O O O S-PER O O S-PER O O O O O O O O O O O O O O O O O
17 will be that he did not kill the victims .	O O O O O O O O O O O
SUNDAY , AUGUST 25TH SCHEDULE	O O O O O
Hong Kong police regularly catch hundreds of illegal immigrants and people who have overstayed their visas from mainland China and send them back .	B-LOC E-LOC O O O O O O O O O O O O O O O O S-LOC O O O O O
15 , Hansma 24 , Wouden 70 , 90 ) .	O O S-PER O O S-PER O O O O O
He was a politician , one of the first French romantic writers and ambassador to the British court .	O O O O O O O O O S-MISC O O O O O O S-MISC O O
Six months to June 30	O O O O O
" Until the government releases our boats from naval custody and Sri Lankan naval custody , and gives us assurance ( it will not revoke licences of boats ferrying refugees ) , we will not call off our strike , " Bose said .	O O O O O O O O O O O B-MISC E-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O
Pace trio David Millns ( 2-24 ) , Gordon Parsons ( 3-20 ) and Vince Wells ( 2-19 ) had Hampshire reeling at 81 for seven in reply to the home county 's first innings of 353 .	O O B-PER E-PER O O O O B-PER E-PER O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O
Utrecht 2 0 1 1 2 3 1	O O O O O O O O
SOCCER - RESULTS OF SOUTH KOREAN PRO-SOCCER GAMES .	O O O O B-MISC E-MISC O O O
The monthly index fell to 83.0 in July against a reading of 85.0 in June , the private business research group said .	O O O O O O O O O O O O O O O O O O O O O O O
Pittsburgh 5 COLORADO 3	O O O O
294 Satoshi Higashi ( Japan ) 75 72 74 73 , Scott McCarron 76 70	O B-PER E-PER O S-LOC O O O O O O B-PER E-PER O O
" Although the final draft of the treaty probably did n't totally satisfy any country , it was in general balanced , " the official People 's Daily newspaper said in a commentary .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Baseball games played on Saturday ( home team in CAPS ) :	O O O O O O O O O O O O
- Fears of an Israeli operation causes the redistribution of Syrian troops locations in Lebanon .	O O O O S-MISC O O O O O S-MISC O O O S-LOC O
Zaglebie Lubin 2 LKS Lodz 1	O O O O O O
Prime Minister Benjamin Netanyahu 's government , which took office in June , has said it will not allow the Authority , set up under a 1993 interim peace deal to control parts of the Gaza Strip and West Bank , to operate in Jerusalem .	O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O B-LOC E-LOC O O O O S-LOC O
" At the Olympics water was only a dollar , and that was the Olympics , " said one incredulous fan , noting that the Atlanta Games had been notorious for price gouging .	O O O S-MISC O O O O O O O O O O S-MISC O O O O O O O O O O B-MISC E-MISC O O O O O O O
" We have notified them of our concerns and asked them to give us a response , " said Colorado attorney general Gale Norton .	O O O O O O O O O O O O O O O O O O O S-LOC O O B-PER E-PER O
Israel gave Palestinian President Yasser Arafat permission on Thursday to fly over its territory to the West Bank , ending a brief Israeli-PLO crisis , an Arafat adviser said .	S-LOC O S-MISC O B-PER E-PER O O O O O O O O O O B-LOC E-LOC O O O O S-MISC O O O S-PER O O O
Summaries of Wednesday 's German	O O O O S-MISC
Lincoln 1 Leyton Orient 1	O O O O O
Repsol shares up 65 pesetas on H1 results .	O O O O O O O O O
Specter met Crown Prince Abdullah and Minister of Defence and Aviation Prince Sultan in Jeddah , Saudi state television and the official Saudi Press Agency reported .	S-PER O O B-PER E-PER O O O O O O O S-PER O S-LOC O S-MISC O O O O O O O O O O
289 Scott Hoch 71 68 77 73	O B-PER E-PER O O O O
( in million HK$ unless stated )	O O O S-MISC O O O
LISBON 1996-08-23	S-LOC O
Irina Spirlea ( Romania ) beat Maria Jose Gaidano ( Argentina ) 6-1 6-2	B-PER E-PER O S-LOC O O B-PER I-PER E-PER O S-LOC O O O
WESTERN DIVISION	B-MISC E-MISC
LONDON 1996-08-29	S-LOC O
Sri Lanka , playing in front of their home crowd for the first time since winning the World Cup last March , comfortably passed India 's modest 226-5 from 50 overs in 44.2 overs .	B-LOC E-LOC O O O O O O O O O O O O O O O B-MISC E-MISC O O O O O S-LOC O O O O O O O O O O
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES .	O O B-MISC I-MISC E-MISC O O
About 200 German anti-nuclear activists protested on Thursday against nuclear waste transportation by re-enacting scenes from a demonstration they staged in May that turned into a violent clash with police .	O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Sibonina 55 13/09 Red Sea / Japan W160 Marubeni .	O O O B-LOC E-LOC O S-LOC O O O
Maria Szabo of the Hungarian office organising the elections on behalf of the OSCE told Reuters on Wednesday her office was studying the letter but said they had followed OSCE instructions very carefully .	B-PER E-PER O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" After I was told they were dyed , I checked them over again .	O O O O O O O O O O O O O O O
Spartak Trnava 4 2 2 0 10 5 8	O O O O O O O O O
Note : the Apertura is the first of two championships played	O O O S-MISC O O O O O O O
Russian security chief Aleksander Lebed faces an almost impossible task in Chechnya and is likely to be sidelined , Polish Foreign Minister Dariusz Rosati was reported as saying on Wednesday .	S-MISC O O B-PER E-PER O O O O O O S-LOC O O O O O O O S-MISC O O B-PER E-PER O O O O O O O
-- Bombay newsroom +91-22-265 9000	O S-LOC O O O
Becanovic ( Lille ) , Alain Caveglia ( Lyon ) , Xavier Gravelaine	S-PER O O O O B-PER E-PER O O O O B-PER E-PER
** Ciputra Development on reports of a plan to build property projects worth $ 2 billion in Jakarta and Surabaya .	O O O O O O O O O O O O O O O O O S-LOC O S-LOC O
Crystal Palace 3 1 1 1 3 2 4	O O O O O O O O O
Before the assassination attempt , she had worked for Republican congressmen and for the Republican Party .	O O O O O O O O O S-MISC O O O O O O O
Pakistan lead the series 1-0 .	S-LOC O O O O O
Trailing fellow Indian Ocean islanders Mauritius 1-0 from the first leg , they were held to a 1-1 draw at home on Saturday despite playing against 10 men for most of the match .	O O B-LOC E-LOC O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8. Kamiel Maase ( Netherlands ) 28.29.42	O B-PER E-PER O S-LOC O O
TALLINN 1996-08-28	S-LOC O
Result of game one of the Philippine Basketball Association second conference finals on Tuesday :	O O O O O O O O O O O O O O O
Division A	O O
MUZAFFARABAD , Pakistan 1996-08-25	S-LOC O S-LOC O
China on Tuesday reaffirmed its support for a global nuclear test ban treaty blocked by India last week , saying the pact would be an important step in achieving total nuclear disarmament .	S-LOC O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O
- Members of a County Antrim Protestant family who were driven into exile by by loyalist paramilitaries two years ago returned yesterday to live in Northern Ireland in defiance of the threat hanging over them .	O O O O B-LOC E-LOC O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O O O O O O O O O
Nancy 0 Paris St Germain 0 .	O O O O O O O
Aggregate 2-2 .	O O O
" Over the medium term , yes , " he told Reuters after addressing industrialists in the capital .	O O O O O O O O O O O O O O O O O O O
Revenue from long-distance passenger	O O O O
At the moment this is not the case . "	O O O O O O O O O O
Watford 0 Millwall 2	O O O O
NBH trade balance Jan-May - $ 934 million ( Jan-April - $ 774 million )	O O O O O O O O O O O O O O O
16 - Martina Hingis ( Switzerland ) beat Angeles Montolio ( Spain ) 6-1 6-0	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
Gloria Bistrita 0 Universitatea Cluj 1	O O O O O O
BAGHDAD 1996-08-24	S-LOC O
The Red Sox are two games over .500 for the first time this season .	O O O O O O O O O O O O O O O
Martin Damm ( Czech Republic ) beat Adrian Voinea ( Romania ) 5-7	B-PER E-PER O B-LOC E-LOC O O B-PER E-PER O S-LOC O O
Iran has asked Germany to extradite its former president Abolhassan Banisadr for alleged hijacking , an Iranian embassy spokesman said on Wednesday .	S-LOC O O S-LOC O O O O O B-PER E-PER O O O O O S-MISC O O O O O O
9. Keiji Kojima ( Japan ) 1:05.300	O B-PER E-PER O S-LOC O O
Nancy 0 Paris St Germain 0	O O O O O O
Fox said the incident had strained relations between the two governments .	S-PER O O O O O O O O O O O
soccer matches played on Sunday :	O O O O O O
TENNIS - RESULTS AT TOSHIBA CLASSIC .	O O O O B-MISC E-MISC O
four-day English County Championship cricket matches on Monday :	O B-MISC I-MISC E-MISC O O O O O
TENNIS - RESULTS AT TOSHIBA CLASSIC .	O O O O B-MISC E-MISC O
PRESS DIGEST - ANGOLA - AUG 28 .	O O O S-LOC O O O O
Hingis has been working hard on conditioning and has lost eight pounds ( 3.5 kilos ) in advance of the championships .	S-PER O O O O O O O O O O O O O O O O O O O O O
DUBAI 1996-08-22	S-LOC O
Criciuma 5 1 2 2 7 8 5	O O O O O O O O
Otelul Galati 1 F.C. Arges Dacia Pitesti 0	O O O O O O O O
Alex O'Brien ( U.S. ) beat Mikael Tillstrom ( Sweden ) 6-3 2-6	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
" Even though it 's an act of common delinquency , the case could take a difficult turn because former Nicaraguan guerrillas are involved , " Security Minister Bernardo Arce told reporters .	O O O O O O O O O O O O O O O O O O O O S-MISC O O O O O O O B-PER E-PER O O O
BONN 1996-08-24	S-LOC O
BANGKOK 1996-08-22	S-LOC O
Marseille 4 1 2 1 5 4 5	O O O O O O O O
1. Isel Lopez ( Cuba ) 61.36	O B-PER E-PER O S-LOC O O
Hundreds of police raided the Dhaka university on Sunday , arresting nearly 30 outsiders who had been living in student dormitories and seizing weapons , university officials said .	O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O
Moslems and Serbs have scuffled several times along the line in the past when Moslem refugees tried to surge into the town .	S-MISC O S-MISC O O O O O O O O O O O S-MISC O O O O O O O O
Voters will be choosing a three-member presidency and a parliament to rule over a loose union of Bosnia , comprised of a Serb republic and a Moslem-Croat federation .	O O O O O O O O O O O O O O O O O S-LOC O O O O S-MISC O O O S-MISC O O
Feyenoord Rotterdam 3 ( Sanchez 27th , Taument 44th , 57th )	O O O O S-PER O O S-PER O O O O
Scandal hits Clinton campaign at vital moment .	O O S-PER O O O O O
9 ( 63 ) Hawthorn 12 .	O O O O O O O
5. Bekescsaba 3 2 - 1 6 2 6	O O O O O O O O O
The Socialist CFDT union warned of " tension and conflict " when France returns to work after the summer break and called for a drive to create up to 500,000 jobs in nine months .	O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O
First test : Lord 's - Pakistan won by 164 runs	O O O B-LOC E-LOC O S-LOC O O O O
Robert W. Baird & Co .	O O O O O O
Karol Kucera ( Slovakia ) beat 1 - Michael Chang ( U.S. ) 6-4 6-4	B-PER E-PER O S-LOC O O O O B-PER E-PER O S-LOC O O O
79 Tom Watson	O B-PER E-PER
Maybe it was a combination of the heat and something I ate . "	O O O O O O O O O O O O O O
Brussels received 5.6 cm ( 2.24 inches ) of water in the past 24 hours -- compared to an average 7.4 cm ( 2.96 inches ) per month -- but in several communes in the south of the country up to 8 cm ( 3.2 inches ) fell , the Royal Meteorological Institute ( RMT ) said .	S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
At Headingley : Yorkshire 529-8 declared ( C. White 181 ,	O S-LOC O O O O O B-PER E-PER O O
unless stated ) :	O O O O
Anne-Gaelle Sidot ( France ) beat Wang Shi-Ting ( Taiwan ) 6-4 3-6 6-3	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
The crowds , they speak louder or they move .	O O O O O O O O O O
15-9 15-7	O O
I was really concentrating on keeping my own momentum and my own rhythm .	O O O O O O O O O O O O O O
Dnipro Dnipropetrovsk 2 CSKA Kiev 1	O O O O O O
Montenegrin midfielder Dejan Savicevic equalised for the home team , weaving past a defender , checking and firing in a left-footed shot in the 21st minute that gave young Fiorentina goalkeeper Francesco Toldo little chance .	S-MISC O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O
Southern records have already been preserved .	S-MISC O O O O O O
Shanghai novelist murdered at home .	S-LOC O O O O O
Huddersfield	O
" Tomorrow ...	O O O
" Regrettably Jimmy has felt unable to accept that offer , and has accordingly left the club . "	O O S-PER O O O O O O O O O O O O O O O O
She agreed .	O O O
PPI ( pct ) June +0.7 m / m;+21.5yr / yr ( May +1.7;+22.0 )	O O O O O O O O O O O O O O O
Gloria Bistrita win 4-2 on aggregate .	O O O O O O O
52 seconds	O O
The latest diplomatic row between Nigeria 's military government and the club of Britain and its former colonies erupted over the terms of a visit by Commonwealth ministers to discuss Nigeria 's suspension .	O O O O O S-LOC O O O O O O O S-LOC O O O O O O O O O O O O O O O O S-LOC O O O
R	O
Scorer : Salou Bachirou ( 53rd minute )	O O B-PER E-PER O O O O
" While not agreeing with the directors ' decision , I respect their reasons for making it . "	O O O O O O O O O O O O O O O O O O O
Netanyahu and Levy 's spokesmen said they could not confirm it .	S-PER O S-PER O O O O O O O O O
Marseille now lie seventh in the league on five points .	O O O O O O O O O O O
2. Johan Capiot ( Belgium ) Collstrop	O B-PER E-PER O S-LOC O O
SOCCER - PARMA , ROMA AND UDINESE OUT OF ITALIAN CUP .	O O O O O O O O O B-MISC E-MISC O
An earlier problem with CDU No .	O O O O O O O
Forecasts were for deficits of 900 million sterling and 1.4 billion sterling .	O O O O O O O O O O O O O
Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .	O O O O O O O O O O O O O O O O O O O O O
Portsmouth : Middlesex 199 and 226-1 ( J. Pooley 106 not out , M. Ramprakash 81 not out ) , Hampshire 232 ( A. Fraser 5-55 , R. Fay 4-77 )	S-LOC O O O O O O B-PER E-PER O O O O B-PER E-PER O O O O O O O O B-PER E-PER O O B-PER E-PER O O
That lawsuit , which seeks rescision and restitution , was dismissed in a U.S. district court .	O O O O O O O O O O O O O S-LOC O O O
Women 's singles	O O O
Seasongood & Mayer	O O O
Watts said the cost of protesting can be heavy once the company is locked into a contract .	S-PER O O O O O O O O O O O O O O O O O
KANSAS CITY 58 72 .446 19	O O O O O O
Emnid April 28 40.0 32.0 5.0 11.0 5.0	O O O O O O O O
U.S. , British and French planes have been patrolling the skies of northern Iraq since shortly after the 1991 Gulf War to shield Iraq 's Kurds from any attack by Iraqi troops .	S-LOC O S-MISC O S-MISC O O O O O O O O S-LOC O O O O O B-MISC E-MISC O O S-LOC O S-MISC O O O O S-MISC O O
" There is a lot of things that can happen , " Martinez said about her early difficulties adjusting to tennis on the cement at Flushing Meadows .	O O O O O O O O O O O O S-PER O O O O O O O O O O O O B-LOC E-LOC O
1. Federico Colonna ( Italy ) Mapei three hours 43 mins five secs	O B-PER E-PER O S-LOC O O O O O O O O
Chornomorets 6 4 1 1 11 7 13	O O O O O O O O
Evert will depart for Alexandroupolis on Saturday afternoon .	S-PER O O O S-LOC O O O O
LIMERICK , Ireland 1996-08-29	S-LOC O S-LOC O
Messages of goodwill continued to roll into the team hotel .	O O O O O O O O O O O
- A shipload of 12 tonnes of rice arrives in Umm Qasr port in the Gulf .	O O O O O O O O O O B-LOC E-LOC O O O S-LOC O
Brian Homewood	B-PER E-PER
Just a day later the national euphoria at the rescue turned to disgust as Dutroux led police to the bodies of two eight-year-old girls in another of his houses .	O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O
PRESS DIGEST - Lebanon - Aug 22 .	O O O S-LOC O O O O
The local polls next month will be the first since 1987 in the state , clamped under direct rule from New Delhi since 1990 .	O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O O O
Rabinovich is winding up his term as ambassador .	S-PER O O O O O O O O
Norway , England and Sweden were rewarded for their fair play on Thursday with an additional place in the 1997-98 UEFA Cup competition .	S-LOC O S-LOC O S-LOC O O O O O O O O O O O O O O O B-MISC E-MISC O O
The visitors had started the day optimistically by sending back former England captain Graham Gooch when he added just six to his overnight 105 , but Essex went on to make 532 for eight before declaring .	O O O O O O O O O O O S-LOC O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O
Officials are now hunting for the suspect 's collaborators , police said .	O O O O O O O O O O O O O
Michael Stich ( Germany ) beat Tommy Haas ( Germany ) 6-3 1-6 6-1 7-5	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O
Home fans frequently booed their own side until Sharpe turned the jeers to cheers .	O O O O O O O O S-PER O O O O O O
Bradford 3 1 0 2 3 3 3	O O O O O O O O
1. Davis Kamoga ( Uganda ) 45.15 seconds	O B-PER E-PER O S-LOC O O O
Baltika Kaliningrad 25 8 10 7 29 26 34	O O O O O O O O O
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES .	O O B-MISC I-MISC E-MISC O O
Sarah was Brady 's second wife and they have a son , James Scott Brady Jr .	S-PER O S-PER O O O O O O O O O B-PER I-PER I-PER E-PER O
Artmedia Petrzalka 0 JAS Bardejov 0	O O O O O O
" She 's fine with it .	O O O O O O O
Celaya 2 0 2 0 1 1 2	O O O O O O O O
PARIS 1996-08-24	S-LOC O
Danielle Murray from Sandusky , Ohio , the same age as her new penfriend , asked for a reply from whoever received the message she flung on its journey months ago on the other side of the Atlantic Ocean .	B-PER E-PER O S-LOC O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O
Nigerian terms jeopardize Commonwealth trip-Canada .	S-MISC O O O S-MISC O
He said his government had just asked U.N. human rights monitors to increase their numbers in Burundi in an effort " to put an end to this vicious circle of violence . "	O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O
3. Seguy 24	O S-PER O
Arch said full production has begun and initial estimates of gross reserves attributable to this well range up to one million barrels of oil .	O O O O O O O O O O O O O O O O O O O O O O O O O
The truck was overturned , spilling its load onto the crossing , and careered into the nearby Bell St Station .	O O O O O O O O O O O O O O O O O B-LOC I-LOC E-LOC O
Michael Schumacher 's victory in the Belgian Formula One Grand Prix at Spa-Francorchamps sparked a speeding epidemic on Belgian roads after the race was over .	B-PER E-PER O O O O S-MISC B-MISC I-MISC I-MISC E-MISC O S-LOC O O O O O S-MISC O O O O O O O
The government has denied the charge and blames the MQM for much of the violence that killed 2,000 people in the city last year .	O O O O O O O O O O O O O O O O O O O O O O O O O
SINGAPORE 1996-08-29	S-LOC O
M. Maynard b Wasim Akram 41	B-PER E-PER O B-PER E-PER O
The plant , requiring an investment of three billion baht , has a floor space of 50,000 square metres and is designed to produce 600,000 gasoline engines a year , to be sold in China , South America , the Middle East and Africa , it said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O B-LOC E-LOC O O B-LOC E-LOC O S-LOC O O O O
Attendance 9,000 .	O O O
All passengers freed from Sudanese hijack plane .	O O O O S-MISC O O O
St Kilda 9 .	O O O O
" The strategic aim of European integration should not in any way damage Ukraine 's interests in post-Soviet areas .	O O O O O S-MISC O O O O O O O S-LOC O O O S-MISC O O
highest score , average ) :	O O O O O O
What 's the message here ? "	O O O O O O O
It did not say when the charge would be taken .	O O O O O O O O O O O
Standings ( tabulate under games played , won , drawn , lost ,	O O O O O O O O O O O O O
