S. Korea Daewoo , Dacom units in Polish telecom JV .	B-LOC E-LOC S-ORG O S-ORG O O S-MISC O O O
BRUSSELS 1996-08-22	S-LOC O
The talks between Maskhadov and Russia 's Vyacheslav Tikhomirov are aimed at putting the finishing touches to a ceasefire sealed last week in talks with Russian security chief Alexander Lebed .	O O O S-PER O S-LOC O B-PER E-PER O O O O O O O O O O O O O O O O S-MISC O O B-PER E-PER O
CHICAGO 1996-08-27	S-LOC O
PRESS DIGEST - Spain - Aug 28 .	O O O S-LOC O O O O
Southampton 3 0 1 2 2 4 1	S-ORG O O O O O O O
Lyon 2 ( Caveglia 23rd , Giuly 30th ) Nancy 0 .	S-ORG O O S-PER O O S-PER O O S-ORG O O
Graafschap Doetinchem 3 RKC Waalwijk 2	B-ORG E-ORG O B-ORG E-ORG O
9. John Talen ( Neths ) Foreldorado same time	O B-PER E-PER O S-LOC O S-ORG O O
First round results in the Hong	O O O O O S-MISC
SOCCER - LEADING GOALSCORERS IN POLISH FIRST DIVISION .	O O O O O S-MISC O O O
W L PCT GB	O O O O
Zairean Prime Minister Kengo wa Dondo said on Thursday in a visit to Rwanda that his country would expell all the refugees back to Rwanda but he gave no timeframe .	S-MISC O O B-PER I-PER E-PER O O O O O O O S-LOC O O O O O O O O O O S-LOC O O O O O O
W L PCT GB	O O O O
LONDON 1996-08-28	S-LOC O
St Mirren 0 St Johnstone 3	B-ORG E-ORG O B-ORG E-ORG O
" I hope the government will now make it clear they believe there is a better way of dealing with this issue , " National Farmers Union president Sir David Naish told BBC radio .	O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O O B-PER E-PER O B-ORG E-ORG O
Chang and Washington were the only men 's seeds in action on a day that saw two seeded women 's players fall .	S-PER O S-PER O O O O O O O O O O O O O O O O O O O O
There was also a wicket each for Ronnie Irani , Allan Mullally and Darren Gough although there was no joy for Dean Headley who , along with Lancashire batsman Graham Lloyd , was making his international debut .	O O O O O O O B-PER E-PER O B-PER E-PER O B-PER E-PER O O O O O O B-PER E-PER O O O O S-ORG O B-PER E-PER O O O O O O O
The former Soviet Union was displaced as contractor of the potentially rich Shabwa oilfields once it collapsed in December 1991 , according to the International Petroleum Encyclopedia .	O O B-LOC E-LOC O O O O O O O O S-LOC O O O O O O O O O O O B-MISC I-MISC E-MISC O
standings after games played on Sunday ( tabulate under won ,	O O O O O O O O O O O
* Reinsurance group Scor gained 2.1 percent to 202 francs on news that British insurer Prudential had sold its Mercantile & General reinsurance business to Swiss Re .	O O O S-ORG O O O O O O O O O S-MISC O S-ORG O O O B-ORG I-ORG E-ORG O O O S-MISC S-ORG O
Playing Monday : Deportivo Espanol v Colon	O O O B-ORG E-ORG O S-ORG
In July , the volume of help-wanted advertising fell in five of the nine U.S. regions .	O O O O O O O O O O O O O O S-LOC O O
Prosecutors in the city of Potsdam said the 32-year-old man drew alongside the other car at about 110 kph ( 70 mph ) and aimed his pistol at the driver .	O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O
6-1 7-5	O O
-- Seattle bureau 206-386-4848	O S-LOC O O
Dr Andrew Wakefield of the Royal Free Hospital School of Medicine and colleagues screened 25,000 babies delivered at University Hospital , Uppsala , between 1940 and 1949 .	O B-PER E-PER O O B-LOC I-LOC I-LOC I-LOC I-LOC E-LOC O O O O O O O B-LOC E-LOC O S-LOC O O O O O O
284 D.A. Weibring 73 69 74 68 , Tim Herron 70 67 75 72 , Mark	O B-PER E-PER O O O O O B-PER E-PER O O O O O S-PER
Rochdale 0 Colchester 0	S-ORG O S-ORG O
" No , they have good intentions , " Arafat quoted Ross as saying .	O O O O O O O O O S-PER O S-PER O O O
Hunter	S-LOC
Softbank Corp said on Friday that it would procure $ 900 million through the foreign exchange market by September 5 as part of its acquisition of U.S. firm , Kingston Technology Co .	B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O O B-ORG I-ORG E-ORG O
R. Croft not out 5	B-PER E-PER O O O
Advanced Medical , through IMED , is already one of the nation 's largest developers and manufacturers of intravenous infusion pumps and proprietary disposable products .	B-ORG E-ORG O O S-ORG O O O O O O O O O O O O O O O O O O O O O
It has since been silent on the issue .	O O O O O O O O O
" We change lanes all the time in Barcelona .	O O O O O O O O S-LOC O
tennis tournament on Sunday ( prefix number denotes seeding ) :	O O O O O O O O O O O
The police spokesman said he was not sure whether any more passengers were still trapped in the wreckage .	O O O O O O O O O O O O O O O O O O O
Stoke 3 3 0 0 5 2 9	S-ORG O O O O O O O
Standings ( tabulated under played , won , drawn , lost , goals	O O O O O O O O O O O O O
I 'm only 34 .	O O O O O
Women 's 400 metres	O O O O
ITALIAN CABINET APPROVES TELEVISION DECREE .	S-MISC O O O O O
CARACAS 1996-08-29	S-LOC O
CRICKET - ENGLAND 326 ALL OUT V PAKISTAN IN THIRD TEST .	O O S-LOC O O O O S-LOC O O O O
Dealers blamed a weakening franc and worries about the 1997 budget and possible autumn strikes	O O O O O O O O O O O O O O O
-- Dublin Newsroom +6613377	O B-ORG E-ORG O
SARAJEVO 1996-08-22	S-LOC O
Pakistan	S-LOC
G. Thorpe lbw b Mohammad Akram 54	B-PER E-PER O O B-PER E-PER O
1-0 .	O O
Monthly	O
Instead , the refugees were said to have been directed by their authorities to vote from strategic towns which had Moslem majorities before the 43-month Bosnian war , but which are now underpopulated as a result of " ethnic cleansing " .	O O O O O O O O O O O O O O O O O O O O S-MISC O O O O S-MISC O O O O O O O O O O O O O O O O
Sumitomo and CNIEC have made no comments on the talk and Chinese traders said they know nothing of such an arrangement .	S-ORG O S-ORG O O O O O O O O S-MISC O O O O O O O O O O
standings after games played on Friday ( tabulate under won ,	O O O O O O O O O O O
A second device , packed with five kg ( 10 lbs ) of explosive , was defused before it could go off , police said .	O O O O O O O O O O O O O O O O O O O O O O O O O O
round was abandoned because of torrential rain .	O O O O O O O O
Issuer : Colorado Health Fac .	O O B-ORG I-ORG I-ORG E-ORG
Southend 2 0 1 1 1 6 1	S-ORG O O O O O O O
USDA Thursday forecast U.S. agricultural exports in fiscal year 1997 would decline to $ 58 billion , down $ 2 billion from the record $ 60 billion seen for fiscal 1996 .	S-ORG O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The poll gave Clinton a 53 percent to 39 percent lead over Dole if Perot were not in the race .	O O O S-PER O O O O O O O O S-PER O S-PER O O O O O O
King Birenda told Gyaicain Norbu , chairman of the Tibetan government , that Nepal would not " become a tool for others to split Tibet " , the newspaper said .	O S-PER O B-PER E-PER O O O O S-MISC O O O S-LOC O O O O O O O O O O S-LOC O O O O O O
Groningen 1 Roda JC Kerkrade 1	S-ORG O B-ORG I-ORG E-ORG O
12. Paul McGinley ( Ireland ) 208,978	O B-PER E-PER O S-LOC O O
-- Cash :	O O O
We 've never seen anything so bad , " he said in an interview in his office , unlit since the government cut off electricity because of unpaid power bills .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Colombo has said it believes Tamil rebels , fighting a 13-year war for independence against the government , finance their military activity through funds extorted from expatriate Sri Lankans in western countries such as the United States .	S-LOC O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O B-MISC E-MISC O O O O O O B-LOC E-LOC O
In the past two months elephants have killed three people in remote areas of east and central Nepal .	O O O O O O O O O O O O O O O O O S-LOC O
Halftime 0-1 .	O O O
1-0 .	O O
Crowds anxiously wait for his appearances , thrusting out hands for him to grip as they scream " 12 more years " -- a wishful hope to eight years of Gore after a Clinton re-election .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O S-PER O O
Chesterfield 3 2 0 1 3 2 6	S-ORG O O O O O O O
The spokesman said SBC Warburg has also put an " add " recommendation on Slough Estates ' shares , but added that this " is a general move , not because of the results . "	O O O B-ORG E-ORG O O O O O O O O O B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O
It was his second assisted-suicide in 36 hours and the 37th that he has acknowledged attending since starting his crusade for doctor assisted suicide in 1990 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
And I did n't have a good feeling as soon as I lost in my doubles ( on Tuesday ) . "	O O O O O O O O O O O O O O O O O O O O O O
-- Reuters Toronto Bureau 416 941-8100	O B-ORG I-ORG E-ORG O O
* Economists see second-quarter gross domestic product revised down 0.1 percentage point .	O O O O O O O O O O O O O
Opposition legislators walked out of parliament in Dhaka on Sunday denouncing " unprecedented police barbarity " against opposition students and supporters .	O O O O O O O S-LOC O O O O O O O O O O O O O O
Mikael Tillstrom ( Sweden ) beat Tamer El Sawy ( Egypt ) 1-6 7-6 ( 9	B-PER E-PER O S-LOC O O B-PER I-PER E-PER O S-LOC O O O O O
The Richmond-based retailer lost $ 95.7 million in the fiscal year ended February 3 .	O S-MISC O O O O O O O O O O O O O
BORROWER VENANTIUS AB ( SWEDISH NATIONAL MORTGAGE AGENCY )	O B-ORG E-ORG O S-MISC O O O O
Guinea calls two days of prayer .	S-LOC O O O O O O
Chernomorets Novorossiisk 25 7 5 13 25 38 26	B-ORG E-ORG O O O O O O O
Puchon 3 Chonan 0 ( halftime 1-0 )	S-ORG O S-ORG O O O O O
The food poisoning epidemic caused by the O-157 colon bacillus in Sakai appears to be " settling down " , Health Minister Naoto Kan was quoted by a government spokesman as telling the cabinet .	O O O O O O O S-MISC O O O S-LOC O O O O O O O O O O B-PER E-PER O O O O O O O O O O O
6,045,000.00	O
He was believed by prison officials to still be in Thailand .	O O O O O O O O O O S-LOC O
Leaders of Iraq 's two main Kurdish factions agreed on Friday to end six days of fighting and to attend U.S.-mediated peace talks next month , the State Department said .	O O S-LOC O O O S-MISC O O O O O O O O O O O O O S-MISC O O O O O O B-ORG E-ORG O O
GDP figures are quarterly on annualised basis .	O O O O O O O O
MONTREAL AT SAN FRANCISCO	S-ORG O B-LOC E-LOC
MEXICO CITY 1996-08-26	B-LOC E-LOC O
PARIS 1996-08-26	S-LOC O
Gencor Ltd on Monday said it had swelled its year attributable profit and streamlined operations to strengthen it for the current financial year despite a variety of divisional setbacks .	B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Kurt Schork	B-PER E-PER
Wasim Akram st Stewart b Croft 40	B-PER E-PER O S-PER O S-PER O
Total ( for four wickets ) 339	O O O O O O O
68 Colin Montgomerie	O B-PER E-PER
Saudi Arabia beheads convicted drug smugglers , rapists , murderers and other criminals .	B-LOC E-LOC O O O O O O O O O O O O
10. Kaspars Ozers ( Latvia ) Motorola all same time .	O B-PER E-PER O S-LOC O S-ORG O O O O
-- Sydney Newsroom 61-2 9373-1800	O B-ORG E-ORG O O
Strasbourg 1 ( Zitelli 80th ) Le Havre 0 .	S-ORG O O S-PER O O B-ORG E-ORG O O
LONDON 1996-08-24	S-LOC O
Zinc : Special high grade SHG 5.50-6.00 cents / pound	O O O O O O O O O O
DHAKA 1996-08-22	S-LOC O
Cash balance 20.036 20.112	O O O O
Malcolm Marshall ( West Indies ) 376 , 81	B-PER E-PER O B-LOC E-LOC O O O O
Squad :	O O
NEW YORK AT LOS ANGELES	B-ORG E-ORG O B-LOC E-LOC
Stocks in London started the week badly after a three-day weekend , slipping 0.3 percent , but bargain-hunters later moved in and the FTSE index recovered most of the lost ground to end only just in negative ground .	O O S-LOC O O O O O O O O O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O
Ethiopia 1 Uganda 1	S-LOC O S-LOC O
The use of riverways in the region has been made a priority under a government plan for the Amazon and the high-speed hovercraft will help reduce the time involved in travelling often massive distances , it said .	O O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O
Jeff Tarango ( U.S. ) beat Alex Radulescu ( Romania ) 6-7 ( 5-7 ) 6-4 6-1 retired , heat exhaustion	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O O O O O O
Barrick 's offer of C$ 30 a share or part cash , part share offer was Barrick 's second attempt to swallow the small Vancouver-based gold prospector .	S-ORG O O O S-MISC O O O O O O O O O O O S-ORG O O O O O O O S-MISC O O O
Chang ran off the next three points to close out the match but for Oncins , the contest was a personal victory .	S-PER O O O O O O O O O O O O O S-PER O O O O O O O O
St Pauli 3 1 1 1 7 7 4	B-ORG E-ORG O O O O O O O
I will not dignify such journalism with a reply or an answer .	O O O O O O O O O O O O O
Dal Maso declined to comment on the alleged fifth murder , saying only that " the interrogations are not over yet " with investigators .	B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O
- - - -	O O O O
When five former Olympic 100 champions from 1948 to 1980 , who have been invited to watch the race , turned up at a news conference on Thursday , Christie was quick to put his autograph book in front of the them .	O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O
KATHMANDU 1996-08-23	S-LOC O
Stoke 1 Bradford 0	S-ORG O S-ORG O
I expect to have a great deal of up and down days between now and then , " she said of the November 5 election date .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
A U.S. embassy spokesman in Riyadh said Specter , who arrived from neighbouring Oman on Sunday and left on Monday , had talks with Saudi and American officials in Dhahran , where 19 U.S. airmen were killed by a fuel truck bomb on June 25 , and Riyadh .	O S-LOC O O O S-LOC O S-PER O O O O O S-LOC O O O O O O O O O O S-MISC O S-MISC O O S-LOC O O O S-LOC O O O O O O O O O O O O O S-LOC O
These are some of the leading stories in the official Iraqi press on Thursday .	O O O O O O O O O O S-MISC O O O O
W D L G / F G / A P	O O O O O O O O O O
The Croatian lending rate fell to 8.0 percent on Monday from last Friday 's 9.1 percent after thin demand for kuna forced bank lenders to trim their rates further .	O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
English County Championship cricket matches on Thursday :	S-MISC B-MISC E-MISC O O O O O
Volendam 2 0 1 1 1 4 1	S-ORG O O O O O O O
( Switzerland ) 0	O S-LOC O O
R. Blakey 109 not out , M. Moxon 66 , M. Vaughan 57 ) .	B-PER E-PER O O O O B-PER E-PER O O B-PER E-PER O O O
TORONTO 5 Minnesota 3	S-ORG O S-ORG O
Chicago Cubs outfielder Sammy Sosa had the third-longest streak at 304 games , but that ended earlier this week when he suffered a broken bone in his right hand .	B-ORG E-ORG O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O
" The fundamental problem we have with the Commonwealth is our unfair suspension .	O O O O O O O O S-ORG O O O O O
Graafschap Doetinchem 2 1 1 0 4 3 4	B-ORG E-ORG O O O O O O O
On Wednesday a bookseller in the West Bank town of Ramallah said police about a month ago confiscated several copies of two of Said 's books on the Israel-PLO self-rule deals .	O O O O O O B-LOC E-LOC O O S-LOC O O O O O O O O O O O O S-PER O O O O S-MISC O O O
KERDOS	S-ORG
The 7-pound , 4-ounce ( 3.3 kg ) girl , named Sophia Rose , was born shortly after midnight at South Miami Hospital , publicist Paul Bloch said .	O O O O O O O O O O O B-PER E-PER O O O O O O O B-LOC I-LOC E-LOC O O B-PER E-PER O O
7. Hanna Haugland ( Norway ) 1.88	O B-PER E-PER O S-LOC O O
Shadab Kabir 1 0 9 0 -	B-PER E-PER O O O O O
Vavuniya is just south of the northern mainland area controlled by the LTTE .	S-LOC O O O O O O O O O O O S-ORG O
Lokomotiv Nizhny Novgorod 2 Uralmash Yekaterinburg 2	B-ORG I-ORG E-ORG O B-ORG E-ORG O
-- Inflows of more than $ 500 million are seen in the interbank market and the bourse in the last three days reflecting confidence in the post-election economic policy	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Public Service , Labour and Social Welfare Minister Florence Chitauro told state radio her ministry had already begun recruiting other people to replace the strikers , sub-contracting some of the work to private firms .	B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O
Summary of Dutch first division	O O S-MISC O O
MINNEAPOLIS 1996-08-28	S-LOC O
Ivorian journalist held , asked to reveal source .	S-MISC O O O O O O O O
Interior Minister Jean-Louis Debre , under fire for staging secret talks with one of the largest of several rival underground nationalist groups , told the daily La Corse in a statement he had given " firm orders " to police to round up those responsible for the bombings and bring them to justice .	O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O
Incumbent president Lennart Meri won 49 votes compared to 34 won by his rival , deputy Parliamentary Speaker Arnold Ruutel .	O O B-PER E-PER O O O O O O O O O O O O O O B-PER E-PER O
Elect Res July 40.0 33.0 6.0 12.0 4.0	B-ORG E-ORG O O O O O O
WHEAT SALES - The Commodity Credit Corp of USDA bought 18,278 tonnes of dark northern spring ( DNS ) wheat from Cargill Inc at $ 195.79 per tonne , FOB , for donation to Nicaragua .	O O O O B-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O B-ORG E-ORG O O O O O O O O O O O S-LOC O
Parana 4 2 1 2 5 5 7	S-ORG O O O O O O O
A spokesman for Masood said he had told the California Republican at a meeting in northern Kabul that President Burhanuddin Rabbani 's government favoured talks with all Afghan factions to set up an interim government .	O O O S-PER O O O O O S-LOC S-MISC O O O O O S-LOC O O B-PER E-PER O O O O O O S-MISC O O O O O O O O
CONFIRMED CONFIRMED	O O
Turnover was US$ 275 million .	O O S-MISC O O O
AC Milan midfielder Edgar Davids , who was sent home early from the European championship in England after a clash with the coach , was left out of the squad .	B-ORG E-ORG O B-PER E-PER O O O O O O O O S-MISC O O S-LOC O O O O O O O O O O O O O O
To loud applause , he added : " We will enter Doboj , untie the Doboj knot and ensure free movement for all .	O O O O O O O O O O O S-LOC O O O S-LOC O O O O O O O O
Washington to curb Tamil support in U.S. - Sri Lanka .	S-LOC O O S-MISC O O S-LOC O B-LOC E-LOC O
Value to winner : 72,464 pounds sterling ( $ 112,200 )	O O O O O O O O O O O
TUNIS 1996-08-26	S-LOC O
American Olympic champion Gail Devers clocked a swift 10.84 seconds on her way to victory in the women 's 100 metres , the second fastest time of the season and 0.10 seconds faster than her winning time in Atlanta .	B-MISC E-MISC O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O
New York starter Jimmy Key left the game in the first inning after Seattle shortstop Alex Rodriguez lined a shot off his left elbow .	B-ORG E-ORG O B-PER E-PER O O O O O O O O S-ORG O B-PER E-PER O O O O O O O O
Scoreboard on the fourth day of	O O O O O O
Division two	O O
TOKYO 1996-08-23	S-LOC O
Wengert ( 7-9 ) , who failed to record a shutout in his previous 86 starts in either the minors or majors , did not walk a batter and struck out three for Oakland .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-ORG O
The consortium , called Americast , said the contract was part of its strategy to develop and market the next generation in home entertainment .	O O O O S-ORG O O O O O O O O O O O O O O O O O O O O
December COMEX settled 0.35 cent higher at 90.20 cents , traded 90.50 to 89.40 cents .	O S-ORG O O O O O O O O O O O O O O
Inzamam-ul-Haq c Hussain b Mullally 35	S-PER O S-PER O S-PER O
Parana 3 Guarani 0	S-ORG O S-ORG O
Results of Moroccan first division	O O S-MISC O O
Leading scores after	O O O
Company name Liu Chong Hing Investment Ltd	O O B-ORG I-ORG I-ORG I-ORG E-ORG
Leading results and overall standings after the 195 kilometre second stage of the Tour of the Netherlands between Haarlem and Almere on Wednesday .	O O O O O O O O O O O O O B-MISC I-MISC I-MISC E-MISC O S-LOC O S-LOC O O O
8-284 9-295	O O
-- Hong Kong Newsroom ( 852 ) 2847 4039	O B-ORG I-ORG E-ORG O O O O O
--	O
Sydney Australian All-Ordinaries index -- 2,340.6 ( Feb 3/94 )	S-LOC B-MISC E-MISC O O O O O O O
Baseball games played on Sunday ( home team in CAPS ) :	O O O O O O O O O O O O
And we feel very confident that we 're doing all the right things , " Hope said .	O O O O O O O O O O O O O O O S-PER O O
BOSTON AT CALIFORNIA	S-ORG O S-LOC
6-3	O
Conte seized power in 1984 after the death of veteran Marxist leader Ahmed Sekou Toure .	S-PER O O O O O O O O O S-MISC O B-PER I-PER E-PER O
Hibernian 3 1 1 1 2 2 4	S-ORG O O O O O O O
Dundee 2 Greenock Morton 1	S-ORG O B-ORG E-ORG O
Bowling : Lewis 23-3-112-0 , Mullally 37.1-7-97-3 , Croft	O O S-PER O O S-PER O O S-PER
TOKYO 1996-08-23	S-LOC O
Softbank to procure $ 900 mln via forex by Sept 5 .	S-ORG O O O O O O O O O O O
The pullout of the Russian troops is a key element of the peace plan brokered by Lebed , which aims to end the 20-month Chechnya conflict .	O O O O S-MISC O O O O O O O O O O O S-PER O O O O O O O S-LOC O O
Bahia 5 1 1 3 5 8 4	S-ORG O O O O O O O
In 1995 , Kekkila reported a 5.6 million markka loss before extraordinary items and tax .	O O O S-ORG O O O O O O O O O O O O
Knup was overlooked by Artur Jorge for the European championship finals earlier this year .	S-PER O O O B-PER E-PER O O S-MISC O O O O O O
" There is little we can do when at mid-sea .	O O O O O O O O O O O
U.S. surgeon investigated for discarding foot .	S-LOC O O O O O O
Oasis singer heads for U.S. after illness .	S-ORG O O O S-LOC O O O
The precise reason for the call was not immediately clear .	O O O O O O O O O O O
141 Francisco Cea ( Spain ) 70 71 , Gavin Levenson ( South Africa )	O B-PER E-PER O S-LOC O O O O B-PER E-PER O B-LOC E-LOC O
" We were in the process of preparing a detailed affidavit responding to the Princess 's affadavit and expected to go to court in the next couple of weeks , " said Stenning 's lawyer , Benedict Birnberg . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O B-PER E-PER O O
( 1-1 )	O O O
He said Australian diplomats in Nairobi were working with the Roman Catholic church in southern Sudan and with U.S. and Italian diplomats in the region to help free the missionaries .	O O S-MISC O O S-LOC O O O O B-MISC E-MISC O O O S-LOC O O S-LOC O S-MISC O O O O O O O O O O
" We have similar ambitions as far as our internal development and international life is concerned , " Kucan said .	O O O O O O O O O O O O O O O O O O S-PER O O
Andrew Gray	B-PER E-PER
( A. Brown 56 not out ) .	O B-PER E-PER O O O O O
Fall of wickets : 1-16 2-16 3-33 4-35 5-56 6-98 7-100 8-120	O O O O O O O O O O O O
Riley ( Australia ) 64 71 , Carl Mason 69 66 , Barry Lane	S-PER O S-LOC O O O O B-PER E-PER O O O B-PER E-PER
MON Primedia YR DIV N / A 123.2	O S-ORG O O O O O O
Armed police commandos patrolled the ground when Australia opened their short tour of Sri Lanka with a five-run win over the country 's youth team on Thursday .	O O O O O O O S-LOC O O O O O B-LOC E-LOC O O O O O O O O O O O O O
UAG 1 Neza 2	S-ORG O S-ORG O
European champions Juventus will face English league and cup double winners Manchester United in this season 's European Champions ' League .	S-MISC O S-ORG O O S-MISC O O O O O B-ORG E-ORG O O O O B-MISC I-MISC I-MISC E-MISC O
It said the military presence reflects cooperation between President Saddam Hussein and the PUK 's rival , the Kurdistan Democratic Party ( KDP ) .	O O O O O O O O O B-PER E-PER O O S-ORG O O O O B-ORG I-ORG E-ORG O S-ORG O O
MANCHESTER , England 1996-08-29	S-LOC O S-LOC O
CRICKET - MILLNS SIGNS FOR BOLAND .	O O S-PER O O S-ORG O
The LTTE ( Liberation Tigers of Tamil Eelam ) accosts us and , at the point of a gun , forces us to take refugees , " said senior fishermen leader P. Arulanandam .	O S-ORG O B-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O
Switzerland failed to progress beyond the opening group phase in Euro 96 .	S-LOC O O O O O O O O O B-MISC E-MISC O
drawn , lost , winning percentage , games behind first place )	O O O O O O O O O O O O
" We expect our cooperation will help both countries towards entering the European Union and NATO , " Kwasniewski said .	O O O O O O O O O O O O B-ORG E-ORG O S-ORG O O S-PER O O
SOCCER - DISAPPOINTING AJAX SLUMP 2-0 AT HEERENVEEN .	O O O S-ORG O O O S-LOC O
" Therefore I have some doubts about achieving some form of reconciliation .	O O O O O O O O O O O O O
The constitutional monarch , who last visited China in 1993 , was scheduled to meet Chinese President Jiang Zemin and Premier Li Peng during his visit , they said .	O O O O O O O S-LOC O O O O O O O S-MISC O B-PER E-PER O O B-PER E-PER O O O O O O O
State : TX	O O S-LOC
Chonan 1 0 0 5 4 3	S-ORG O O O O O O
Zenith lands $ 1 billion contract , plans $ 100 million plant .	S-ORG O O O O O O O O O O O O
She later suffered heart failure and was diagnosed with malaria .	O O O O O O O O O O O
Malaysia has banned the use of nitrofuran , an antibiotic , in chicken feed and veterinary applications because it believes the drug could cause cancer , the health ministry said on Thursday .	S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
, at midday and told doctors that she had been paralysed by the disease .	O O O O O O O O O O O O O O O
-- Finance ministry will cut 12-month T-bill rate by 10 basis points to 12.70 percent in the upcoming end August issue	O O O O O O O O O O O O O O O O O O O O O
" I 've known Herschelle since he was 11 years old and he showed in England how he has matured .	O O O O S-PER O O O O O O O O O O S-LOC O O O O O
SOCCER - GROBBELAAR NAMED TEMPORARY ZIMBABWE COACH .	O O S-PER O O S-LOC O O
First half 1996	O O O
IHC also forecast post tax earnings rising 21 percent for the full year .	S-ORG O O O O O O O O O O O O O
OAKLAND 62 69 .473 13	S-ORG O O O O
MILWAUKEE 64 69 .481 15 1/2	S-ORG O O O O O
An orthopedic surgeon was given permission by the child 's parents and the hospital to keep the foot for research and educational purposes .	O O O O O O O O O O O O O O O O O O O O O O O O
Activists dressed as police brandished batons and firing a theatre-prop water cannon at " demonstrators " .	O O O O O O O O O O O O O O O O O
Results of first division	O O O O
Finnish foodstuffs group Atria Oy said in a statement on Monday it expects its result to improve in the second half of 1996 compared to the first half .	S-MISC O O B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O
Clinton made a triumphant Irish tour to back a Northern Ireland peace process but was forced to drop Ballybunion from a packed schedule at the last minute .	S-PER O O O S-MISC O O O O B-LOC E-LOC O O O O O O O S-ORG O O O O O O O O O
matches played on Saturday :	O O O O O
In Larnaca : AEK Larnaca ( Cyprus ) 5 Kotaik Abovyan ( Armenia )	O S-LOC O B-ORG E-ORG O S-LOC O O B-ORG E-ORG O S-LOC O
Publisher VNU gave the following breakdown of its first-half results :	O S-ORG O O O O O O O O O
NEW YORK 74 58 .561 -	B-ORG E-ORG O O O O
- Blaming Iraq for riots in Jordan is a dirty game .	O O S-LOC O O O S-LOC O O O O O
Investigators are probing several other cases .	O O O O O O O
Some overseas investors might shy away from buying U.S. stocks and bonds or even sell them when the dollar is weakening .	O O O O O O O O S-LOC O O O O O O O O O O O O O
Kuchma told a solemn ceremony at the Ukraina Palace on Friday that " there was a turning point " in reforms and that he expected a rise in the standard of living in the near future .	S-PER O O O O O O B-LOC E-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Dr Robert Aranosian , emergency room director at Pontiac Osteopathic Hospital , said Kevorkian brought in the body of Patricia Smith , of Lees Summit , Mo .	O B-PER E-PER O O O O O B-LOC I-LOC E-LOC O O S-PER O O O O O B-PER E-PER O O B-LOC E-LOC O S-LOC O
soccer championship matches played at the weekend .	O O O O O O O O
SOCCER - GERMAN FIRST DIVISION RESULTS .	O O S-MISC O O O O
10. Olaf Ludwig ( Germany ) Telekom 1 minute 44 seconds	O B-PER E-PER O S-LOC O S-ORG O O O O
Brazil - Donizetti ( 47th ) , Ronaldo ( 85th )	S-LOC O S-PER O O O O S-PER O O O
Played on Tuesday :	O O O O
RALLYING - LEADING POSITIONS IN 1,000 LAKES RALLY .	O O O O O B-MISC I-MISC E-MISC O
Kenneth Carlsen ( Denmark ) beat Patrick Rafter ( Australia ) 7-6 ( 9-7 ) 6-3 7-6 ( 8-6 )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O O O O O
At Rio , they joined up with the national team squad for the journey to Moscow , where Brazil will face Russia in a friendly international on Wednesday .	O S-LOC O O O O O O O O O O O O O S-LOC O O S-LOC O O S-LOC O O O O O O O
At the time , Best said it did not plan to open any new stores this fall .	O O O O S-ORG O O O O O O O O O O O O O
M1 money supply ( bln taka ) 144.5 139.3 131.7	O O O O O O O O O O
